,Неправильный вариант,Правильный вариант,simple_html,dist
27,Основные темы программы:&nbsp;прикладная экология / осознанное потребление&nbsp;развитие личной ресурсностизнания об Экосистеме Арктикикорпоративная экокультурадобровольчество / задания и кейсы от Волонтеров Арктикисоучастное проектирование и урбанистика,"<p>Основные темы программы:</p>
<ul>
  <li>прикладная экология / осознанное потребление</li>
  <li>развитие личной ресурсности</li>
  <li>знания об Экосистеме Арктики</li>
  <li>корпоративная экокультура</li>
  <li>добровольчество / задания и кейсы от Волонтеров Арктики</li>
  <li>соучастное проектирование и урбанистика</li>
</ul>","<ul>
  <li>Основные темы программы:&nbsp;</li>
  <li>прикладная экология / осознанное потребление&nbsp;</li>
  <li>развитие личной ресурсности знания об Экосистеме Арктики корпоративная экокультура добровольчество / задания и кейсы от Волонтеров Арктики соучастное проектирование и урбанистика</li>
</ul>",67
28,"""ММП """"КАЛЯЗИН. КУЛЬТУРА"""""",,""Муниципальный молодежныйдобровольческий проект """"КАЛЯЗИН. КУЛЬТУРА"""" реализуется совместно с Советом молодёжи при Главе Калязинского района по оказанию помощи добровольцами в проведение культурно- массовых мероприятий:Патриотической направленности ( митингов, шествие приуроченных к памятным датам Великой Отечественной войны)Культурно-духовного направления ( сопровождение мероприятий сферы культуры, искусства)""","<p>ММП ""КАЛЯЗИН. КУЛЬТУРА""</p>
<p>Муниципальный молодежный добровольческий проект ""КАЛЯЗИН. КУЛЬТУРА"" реализуется совместно с Советом молодёжи при Главе Калязинского района по оказанию помощи добровольцами в проведение культурно-массовых мероприятий:</p>
<ul>
  <li>Патриотической направленности (митингов, шествие приуроченных к памятным датам Великой Отечественной войны)</li>
  <li>Культурно-духовного направления (сопровождение мероприятий сферы культуры, искусства)</li>
</ul>","<p><b>""ММП ""КАЛЯЗИН. КУЛЬТУРА"",,""Муниципальный молодежный добровольческий проект ""КАЛЯЗИН. КУЛЬТУРА"" реализуется совместно с Советом молодёжи при Главе Калязинского района по оказанию помощи добровольцами в проведение культурно- массовых мероприятий:</b></p>
<ul>
  <li>Патриотической направленности ( митингов, шествие приуроченных к памятным датам Великой Отечественной войны) Культурно-духовного направления ( сопровождение мероприятий сферы культуры, искусства)""</li>
</ul>",31
29,"Что нужно будет делать: 
присматривать за детьми; поиграть с детьми, в вашем распоряжении: игровой центр, батуты; настольные игры; инструменты для рисования, лепки; книги и много другое! предоставить возможность родителям посетить сессию киноклуба, не переживая за своего ребенка.","<p><b>Что нужно будет делать:</b></p>
<ul>
  <li>присматривать за детьми;</li>
  <li>поиграть с детьми, в вашем распоряжении: игровой центр, батуты, настольные игры, инструменты для рисования, лепки, книги и многое другое;</li>
  <li>предоставить возможность родителям посетить сессию киноклуба, не переживая за своего ребенка.</li>
</ul>","<p><b>Что нужно будет делать:</b></p>
<ul>
  <li>присматривать за детьми;</li>
  <li>поиграть с детьми, в вашем распоряжении: игровой центр, батуты;</li>
  <li>настольные игры;</li>
  <li>инструменты для рисования, лепки;</li>
  <li>книги и много другое! предоставить возможность родителям посетить сессию киноклуба, не переживая за своего ребенка.</li>
</ul>",49
30,"Дети:
разного возраста (от 3 до 16 лет);с разными ограничениями по здоровью (РАС, синдром Дауна, СДВГ, с нарушениями интеллекта);все ребята - уникальные!","<p>Дети:</p>
<ul>
  <li>разного возраста (от 3 до 16 лет);</li>
  <li>с разными ограничениями по здоровью (РАС, синдром Дауна, СДВГ, с нарушениями интеллекта);</li>
  <li>все ребята - уникальные!</li>
</ul>","<p><b>Дети:</b></p>
<ul>
  <li>разного возраста (от 3 до 16 лет);</li>
  <li>с разными ограничениями по здоровью (РАС, синдром Дауна, СДВГ, с нарушениями интеллекта);</li>
  <li>все ребята - уникальные!</li>
</ul>",7
31,"Формат акции рассчитан на две возрастные категории:
5-7 лет
8-12 лет и старше","<p>Формат акции рассчитан на две возрастные категории:</p>
<ul>
  <li>5-7 лет</li>
  <li>8-12 лет и старше</li>
</ul>","<p><b>Формат акции рассчитан на две возрастные категории:</b></p>
<ul>
  <li>5-</li>
  <li>7 лет
8-</li>
  <li>12 лет и старше</li>
</ul>",24
32,"В ходе лекций будет обсуждено множество тем:
Экологические вызовы современного мира
Влияние человечества на глобальные проблемы
Популяризация раздельного сбора отходов и утилизация ТКО
Ответственное потреблении и устойчивое развитие.
","<p><b>В ходе лекций будет обсуждено множество тем:</b></p>
<ul>
  <li>Экологические вызовы современного мира</li>
  <li>Влияние человечества на глобальные проблемы</li>
  <li>Популяризация раздельного сбора отходов и утилизация ТКО</li>
  <li>Ответственное потребление и устойчивое развитие.</li>
</ul>","<p><b>В ходе лекций будет обсуждено множество тем:</b></p>
<ul>
  <li>Экологические вызовы современного мира</li>
  <li>Влияние человечества на глобальные проблемы</li>
  <li>Популяризация раздельного сбора отходов и утилизация ТКО</li>
  <li>Ответственное потреблении и устойчивое развитие.</li>
</ul>",1
33,"Условия для волонтеров:

обеспечивается питание и проживание в уютных деревянных коттеджах на территории нашего центра;организуется трансфер из Москвы и Владимира;проводится обучающий тренинг;предоставляется сертификат о прохождении 
подготовки по методике терапевтического отдыха для детей, которые перенесли тяжелые заболевания;делается запись в волонтерскую книжку;готовятся благодарности за участие в программе.","<p><strong>Условия для волонтеров:</strong></p>
<ul>
    <li>обеспечивается питание и проживание в уютных деревянных коттеджах на территории нашего центра;</li>
    <li>организуется трансфер из Москвы и Владимира;</li>
    <li>проводится обучающий тренинг;</li>
    <li>предоставляется сертификат о прохождении подготовки по методике терапевтического отдыха для детей, которые перенесли тяжелые заболевания;</li>
    <li>делается запись в волонтерскую книжку;</li>
    <li>готовятся благодарности за участие в программе.</li>
</ul>","<p><b>Условия для волонтеров:</b></p>
<ul>
  <li>обеспечивается питание и проживание в уютных деревянных коттеджах на территории нашего центра;</li>
  <li>организуется трансфер из Москвы и Владимира;</li>
  <li>проводится обучающий тренинг;</li>
  <li>предоставляется сертификат о прохождении подготовки по методике терапевтического отдыха для детей, которые перенесли тяжелые заболевания;</li>
  <li>делается запись в волонтерскую книжку;</li>
  <li>готовятся благодарности за участие в программе.</li>
</ul>",24
34,"Задачи: воспитание уважения и почтительного отношения к государственным символам Российской Федерации;пробуждения у детей интереса к истории своей страны;углубление знаний о культуре России;стимулирование интереса дошкольников к государственному устройству России.""","<p>Задачи:</p>
<ul>
    <li>воспитание уважения и почтительного отношения к государственным символам Российской Федерации;</li>
    <li>пробуждения у детей интереса к истории своей страны;</li>
    <li>углубление знаний о культуре России;</li>
    <li>стимулирование интереса дошкольников к государственному устройству России.</li>
</ul>","<p><b>Задачи:</b></p>
<ul>
  <li>воспитание уважения и почтительного отношения к государственным символам Российской Федерации;</li>
  <li>пробуждения у детей интереса к истории своей страны;</li>
  <li>углубление знаний о культуре России;</li>
  <li>стимулирование интереса дошкольников к государственному устройству России.""</li>
</ul>",16
35,"📍 Основные функции волонтеров:
1.Участие в масштабной акции СВЕЧА ПАМЯТИ.
2. Помощь организаторам фестиваля.
3.Встреча почетных гостей.
4. Выстроиться в линейку со свечами.
5. Раздача свечей.





""","<p>📍 Основные функции волонтеров:</p>
<p>1.Участие в масштабной акции СВЕЧА ПАМЯТИ.</p>
<p>2. Помощь организаторам фестиваля.</p>
<p>3.Встреча почетных гостей.</p>
<p>4. Выстроиться в линейку со свечами.</p>
<p>5. Раздача свечей.</p>","<p><b>📍 Основные функции волонтеров:</b></p>
<ul>
  <li>1.</li>
  <li>Участие в масштабной акции СВЕЧА ПАМЯТИ.</li>
  <li>2. Помощь организаторам фестиваля.</li>
  <li>3.</li>
  <li>Встреча почетных гостей.</li>
  <li>4. Выстроиться в линейку со свечами.</li>
  <li>5. Раздача свечей. ""</li>
</ul>",74
36,"Благодаря этому:ежегодно предотвращается до 450 000 пожаров,
сохраняется материальных ценностей на сумму 35-45 миллиардов рублей.""","<p>Благодаря этому:</p>
<ul>
    <li>ежегодно предотвращается до 450 000 пожаров,</li>
    <li>сохраняется материальных ценностей на сумму 35-45 миллиардов рублей.</li>
</ul>","<p><b>Благодаря этому:</b></p>
<ul>
  <li>ежегодно предотвращается до 450 000 пожаров,</li>
  <li>сохраняется материальных ценностей на сумму 35-45 миллиардов рублей.""</li>
</ul>",12
37,"Каждый день с 16 до 19:30 необходима помощь волонтеров:встречающие/провожающие, они же – дежурные в аудиториифотографоформитель аудитории&nbsp;Место проведения - РГУ им. А.Н. Косыгина (м. Шаболовская)""","<p><b>Каждый день с 16 до 19:30 необходима помощь волонтеров:</b></p>
<ul>
    <li>встречающие/провожающие, они же – дежурные в аудитории</li>
    <li>фотограф</li>
    <li>оформитель аудитории<br/>Место проведения - РГУ им. А.Н. Косыгина (м. Шаболовская)</li>
</ul>","<p><b>Каждый день с 16 до 19:30 необходима помощь волонтеров:</b></p>
<ul>
  <li>встречающие/провожающие, они же – дежурные в аудитории фотограф оформитель аудитории&nbsp;
Место проведения - РГУ им.</li>
  <li>А.</li>
  <li>Н.</li>
  <li>Косыгина (м.</li>
  <li>Шаболовская)""</li>
</ul>",80
38,"2 июля 2022 года в Железногорске Красноярского края пройдёт необычный забег - под названием """"Сумеречные огни"""", по мотивам древнеславянской мифологии.","<ul>
    <li>2 июля 2022 года в Железногорске Красноярского края пройдёт необычный забег - под названием """"Сумеречные огни"""", по мотивам древнеславянской мифологии.</li>
</ul>","<p>2 июля 2022 года в Железногорске Красноярского края пройдёт необычный забег - под названием ""Сумеречные огни"", по мотивам древнеславянской мифологии.</p>",21
39,"Цели данного профилактического мероприятия:&nbsp;сформировать представление о здоровье как одной из главных ценностей человеческой жизни;
выделить компоненты здорового состояния человека;
""","<p>Цели данного профилактического мероприятия:</p>
<ul>
  <li>сформировать представление о здоровье как одной из главных ценностей человеческой жизни;</li>
  <li>выделить компоненты здорового состояния человека;</li>
</ul>","<ul>
  <li>Цели данного профилактического мероприятия:&nbsp;</li>
  <li>сформировать представление о здоровье как одной из главных ценностей человеческой жизни;</li>
  <li>выделить компоненты здорового состояния человека;</li>
  <li>""</li>
</ul>",30
40,"Финансовые и технические условия участия:
проезд из региона проживания, проживание покрываются в рамках Программы мобильности волонтеров;питание на волонтерских сменах, униформа, а также проезд в г. Доха предоставляются организаторами события;питание вне волонтерских смен оплачиваются самостоятельно.","<p><b>Финансовые и технические условия участия:</b></p>
<ul>
  <li>проезд из региона проживания, проживание покрываются в рамках Программы мобильности волонтеров;</li>
  <li>питание на волонтерских сменах, униформа, а также проезд в г. Доха предоставляются организаторами события;</li>
  <li>питание вне волонтерских смен оплачиваются самостоятельно.</li>
</ul>","<p><b>Финансовые и технические условия участия:</b></p>
<ul>
  <li>проезд из региона проживания, проживание покрываются в рамках Программы мобильности волонтеров;</li>
  <li>питание на волонтерских сменах, униформа, а также проезд в г. Доха предоставляются организаторами события;</li>
  <li>питание вне волонтерских смен оплачиваются самостоятельно.</li>
</ul>",0
41,Это будет 2 дня:&nbsp; Доступного и понятного контента по бизнесу&nbsp;Невероятных эмоций и мотивации&nbsp;Атмосфера роста и развития&nbsp; Конкретных инструкций по увеличению прибыли в разных нишах&nbsp; 100+ Мощных инсайтов&nbsp; 52 Инструмента для старта бизнеса&nbsp;Живые спикеры нашего города и механики о которых не знает Москва,"<p>Это будет 2 дня:</p>
<ul>
  <li>Доступного и понятного контента по бизнесу</li>
  <li>Невероятных эмоций и мотивации</li>
  <li>Атмосфера роста и развития</li>
  <li>Конкретных инструкций по увеличению прибыли в разных нишах</li>
  <li>100+ Мощных инсайтов</li>
  <li>52 Инструмента для старта бизнеса</li>
  <li>Живые спикеры нашего города и механики о которых не знает Москва</li>
</ul>","<ul>
  <li>Это будет 2 дня:&nbsp; Доступного и понятного контента по бизнесу&nbsp;</li>
  <li>Невероятных эмоций и мотивации&nbsp;</li>
  <li>Атмосфера роста и развития&nbsp; Конкретных инструкций по увеличению прибыли в разных нишах&nbsp; 100+ Мощных инсайтов&nbsp; 52 Инструмента для старта бизнеса&nbsp;</li>
  <li>Живые спикеры нашего города и механики о которых не знает Москва</li>
</ul>",75
42,Волонтеры будут задействованы в работе с подростками с ОВЗ:присмотр;участие в мастер-классах; помощь организаторам мероприятий;фото- и видеосъемка./,"<p><br><b>Волонтеры</b> будут задействованы в работе с подростками с ОВЗ:</p>
<ul>
  <li>присмотр;</li>
  <li>участие в мастер-классах;</li>
  <li>помощь организаторам мероприятий;</li>
  <li>фото- и видеосъемка.</li>
</ul>
<p><br></p>","<p><b>Волонтеры будут задействованы в работе с подростками с ОВЗ:</b></p>
<ul>
  <li>присмотр;</li>
  <li>участие в мастер-классах;</li>
  <li>помощь организаторам мероприятий;</li>
  <li>фото- и видеосъемка./</li>
</ul>",25
43,возраст кандидата не менее 18 лет (на момент подачи заявки);гражданство Российской Федерации;владение английским языком на уровне Intermediate (B1) и выше;,"<p><b>Обязательными требованиями к волонтерам являются:</b></p>
<ul>
  <li>возраст кандидата не менее 18 лет (на момент подачи заявки);</li>
  <li>гражданство Российской Федерации;</li>
  <li>владение английским языком на уровне Intermediate (B1) и выше;</li>
</ul>","<ul>
  <li>возраст кандидата не менее 18 лет (на момент подачи заявки);</li>
  <li>гражданство Российской Федерации;</li>
  <li>владение английским языком на уровне Intermediate (B1) и выше;</li>
</ul>",64
44,"Задачи волонтеров фестиваля:помощь в координации, встрече и регистрации команд - участников;помощь в координации посетителей;помощь в раздаче материалов для участников;помощь сотрудникам фестиваля во время застройки площадок фестиваля;ассистирование.","<p>Задачи волонтеров фестиваля:</p>
<ul>
  <li>помощь в координации, встрече и регистрации команд-участников;</li>
  <li>помощь в координации посетителей;</li>
  <li>помощь в раздаче материалов для участников;</li>
  <li>помощь сотрудникам фестиваля во время застройки площадок фестиваля;</li>
  <li>ассистирование.</li>
</ul>","<p><b>Задачи волонтеров фестиваля:</b></p>
<ul>
  <li>помощь в координации, встрече и регистрации команд - участников;</li>
  <li>помощь в координации посетителей;</li>
  <li>помощь в раздаче материалов для участников;</li>
  <li>помощь сотрудникам фестиваля во время застройки площадок фестиваля;</li>
  <li>ассистирование.</li>
</ul>",9
45,"Цели:Расчистить территорию загородного отделения от травы, шишек, ветокУборка в гостевых домахПомощь в уборке берега озера","<p>Цели:</p>
<ul>
  <li>Расчистить территорию загородного отделения от травы, шишек, веток</li>
  <li>Уборка в гостевых домах</li>
  <li>Помощь в уборке берега озера</li>
</ul>","<p><b>Цели:</b></p>
<ul>
  <li>Расчистить территорию загородного отделения от травы, шишек, веток.</li>
  <li>Уборка в гостевых домах.</li>
  <li>Помощь в уборке берега озера</li>
</ul>",9
46,"При себе иметь:ПерчаткиГоловные уборыУдобная закрытая одеждаВода, перекус","<p>При себе иметь:</p>
<ul>
  <li>Перчатки</li>
  <li>Головные уборы</li>
  <li>Удобная закрытая одежда</li>
  <li>Вода, перекус</li>
</ul>","<p><b>При себе иметь:</b></p>
<ul>
  <li>Перчатки.</li>
  <li>Головные уборы.</li>
  <li>Удобная закрытая одежда.</li>
  <li>Вода, перекус</li>
</ul>",10
47,"В рамках вебинара:лектор расскажет о том, как успешно презентовать свой проект раскроет секреты грамотного выступления (отсутствие """"воды"""", сухого текста на презентации, борьба с волнением и др. )ответит на вопросы зрителей","<p><b>В рамках вебинара:</b></p>
<ul>
  <li>лектор расскажет о том, как успешно презентовать свой проект</li>
  <li>раскроет секреты грамотного выступления (отсутствие ""воды"", сухого текста на презентации, борьба с волнением и др.)</li>
  <li>ответит на вопросы зрителей</li>
</ul>","<p><b>В рамках вебинара:</b></p>
<ul>
  <li>лектор расскажет о том, как успешно презентовать свой проект раскроет секреты грамотного выступления (отсутствие ""воды"", сухого текста на презентации, борьба с волнением и др.</li>
  <li>) ответит на вопросы зрителей</li>
</ul>",14
48,"Каждый волонтёр получит:Верифицированные часы на DOBRO.RU
Возможность стать частью организаторов масштабного события и увидеть гонку с лучших мест!
Опыт в личную книжку волонтера (ЛКВ) — будет проставлен сразу по окончании мероприятия.
Компенсация питания и проезда до места сбора ранним утром (м. Китай-город): 2 000 руб.
Приоритетный отбор на последующие гонкиВоду и перекусУникальный опыт в организации крупного спортивного мероприятияИскреннюю благодарность велогонщиков, которым вы поможете осуществить свою мечту!
","<p><b>Каждый волонтёр получит:</b></p>
<ul>
  <li>Верифицированные часы на DOBRO.RU</li>
  <li>Возможность стать частью организаторов масштабного события и увидеть гонку с лучших мест!</li>
  <li>Опыт в личную книжку волонтера (ЛКВ) — будет проставлен сразу по окончании мероприятия.</li>
  <li>Компенсация питания и проезда до места сбора ранним утром (м. Китай-город): <b>2 000 руб.</b></li>
  <li>Приоритетный отбор на последующие гонки</li>
  <li>Воду и перекус</li>
  <li>Уникальный опыт в организации крупного спортивного мероприятия</li>
  <li>Искреннюю благодарность велогонщиков, которым вы поможете осуществить свою мечту!</li>
</ul>
<p></p>","<p><b>Каждый волонтёр получит:</b></p>
<ul>
  <li>Верифицированные часы на DOBRO.</li>
  <li>RU
Возможность стать частью организаторов масштабного события и увидеть гонку с лучших мест!
Опыт в личную книжку волонтера (ЛКВ) — будет проставлен сразу по окончании мероприятия.</li>
  <li>Компенсация питания и проезда до места сбора ранним утром (м.</li>
  <li>Китай-город): 2 000 руб.</li>
  <li>Приоритетный отбор на последующие гонки.</li>
  <li>Воду и перекус.</li>
  <li>Уникальный опыт в организации крупного спортивного мероприятия.</li>
  <li>Искреннюю благодарность велогонщиков, которым вы поможете осуществить свою мечту!</li>
</ul>",45
49,"""21 июня 2022г. с 16:00-17:00 на Братской могиле советских воинов, погибших в январе 1945 г., в п. Ельники пройдет Трудовой десант на Братской могиле советских воинов, погибших в ВОВ.22 июня 2022г. с 09:00 - 9:30&nbsp;на Братской могиле советских воинов, погибших в январе 1945 г., в п. Ельники пройдет Акция «Свеча памяти».&nbsp;Возложение цветов на братской могиле советских воинов, погибших в ВОВ.","<ul>
  <li><b>21 июня 2022г. с 16:00-17:00</b> на Братской могиле советских воинов, погибших в январе 1945 г., в п. Ельники пройдет <b>Трудовой десант на Братской могиле советских воинов, погибших в ВОВ.</b></li>
  <li><b>22 июня 2022г. с 09:00 - 9:30</b> <span>на Братской могиле советских воинов, погибших в январе 1945 г., в п. Ельники пройдет </span><b>Акция «Свеча памяти».&nbsp;</b>Возложение цветов на братской могиле советских воинов, погибших в ВОВ.</li>
</ul>","<ul>
  <li>""21 июня 2022 г. с 16:00-17:00 на Братской могиле советских воинов, погибших в январе 1945 г., в п. Ельники пройдет Трудовой десант на Братской могиле советских воинов, погибших в ВОВ.22 июня 2022 г. с 09:00 - 9:30&nbsp;</li>
  <li>на Братской могиле советских воинов, погибших в январе 1945 г., в п. Ельники пройдет Акция «Свеча памяти».&nbsp;</li>
  <li>Возложение цветов на братской могиле советских воинов, погибших в ВОВ.</li>
</ul>",64
